"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Apr-2023","7826","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Mar-2023","12643","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","28-Feb-2023","10059","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jan-2023","14742","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Dec-2022","18313","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Nov-2022","20113","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Oct-2022","15787","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Sep-2022","13815","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Aug-2022","15095","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jul-2022","14453","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Jun-2022","36558","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-May-2022","28285","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Apr-2022","27863","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Mar-2022","33418","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","28-Feb-2022","26717","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jan-2022","26354","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Dec-2021","32152","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Nov-2021","23863","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Oct-2021","26869","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Sep-2021","27125","Number","Normal",""
